locusA_snp1	locusA_snp2	locusA_snp3	locusA_snp4	locusA_snp5	locusA_snp6	locusA_snp7	locusA_snp8	locusA_snp9	locusA_snp10	locusA_snp11	locusA_snp12	locusA_snp13	locusA_snp14	locusA_snp15	locusA_snp16	locusA_snp17	locusA_snp18	locusA_snp19	locusA_snp20	locusA_snp21	locusA_snp22	locusA_snp23	locusA_snp24	locusA_snp25	locusA_snp26	locusA_snp27	locusA_snp28	locusA_snp29	locusA_snp30
1.0	0.162271	0.157852	0.150643	0.154021	0.00316	0.001934	0.005972	-0.001726	0.005862	0.008712	0.008038	0.003053	0.01011	0.009214	0.009176	0.007953	-0.003471	0.010675	0.008109	0.007347	0.005669	-0.002377	0.011274	0.01006	-0.002048	0.000648	-0.002737	-0.000429	0.000395
0.162271	1.0	0.176785	0.174509	0.171812	-0.001144	-0.004163	0.001437	-0.006233	0.008653	-0.000891	0.00266	-0.001518	0.001175	0.004349	0.001746	0.002754	-0.001548	0.004255	0.00357	9.9e-05	-0.000582	6e-05	0.00258	0.002101	0.00212	0.006026	0.004013	0.002612	0.007655
0.157852	0.176785	1.0	0.182387	0.172343	0.001597	-0.001082	0.006177	-0.002658	-0.000496	0.0089	0.004581	0.007372	0.008887	0.005205	-0.000383	0.002958	0.002889	0.002096	0.005471	0.010191	0.004301	0.005966	-0.000788	-0.001204	-0.009921	-0.001219	0.002007	0.003543	0.003212
0.150643	0.174509	0.182387	1.0	0.171023	0.00404	-0.002137	-0.001485	0.001212	-0.006017	0.01082	0.010709	0.007443	0.010661	0.011703	0.009206	0.00524	0.007033	0.00784	0.013075	0.010271	0.007767	0.00738	0.008773	0.007255	-0.016247	-0.002689	0.006382	-0.006697	0.000388
0.154021	0.171812	0.172343	0.171023	1.0	0.002718	0.001333	0.002672	-0.001828	0.008126	0.006165	0.00512	0.004479	0.004817	0.006932	0.003586	0.005803	0.000777	0.004136	0.007095	0.005668	0.005368	0.003001	0.001624	0.002294	-0.001572	0.001306	0.002368	0.002016	0.003616
0.00316	-0.001144	0.001597	0.00404	0.002718	1.0	0.171541	0.172022	0.174639	0.175464	0.001967	0.003444	0.003201	0.004041	0.003217	-0.002033	0.000641	0.000144	0.000348	0.005099	0.004351	0.003337	0.003311	-0.001422	-0.001967	-0.010122	-0.003186	0.003921	0.003917	0.001131
0.001934	-0.004163	-0.001082	-0.002137	0.001333	0.171541	1.0	0.191645	0.192542	0.185819	0.000557	0.003368	0.002469	0.001618	0.001328	-0.004293	-0.001318	0.003123	-0.002984	0.00053	0.000979	0.003718	0.002845	-0.0042	-0.003412	-0.000562	0.000163	-0.004321	0.010077	-0.00062
0.005972	0.001437	0.006177	-0.001485	0.002672	0.172022	0.191645	1.0	0.186206	0.19167	-0.000511	0.001148	-0.00437	0.000224	-0.000151	-0.003644	-0.002892	-0.000811	-0.002765	0.001456	0.001133	-0.004196	-0.004723	-0.003261	-0.002905	0.002106	-0.003951	-0.001044	0.001866	0.000423
-0.001726	-0.006233	-0.002658	0.001212	-0.001828	0.174639	0.192542	0.186206	1.0	0.189931	0.009091	0.010438	0.007198	0.010532	0.010244	0.000478	0.00341	0.005839	0.00359	0.008819	0.008643	0.004593	0.006389	-0.000733	0.000145	-0.006432	0.00101	-0.0042	0.007807	-0.003765
0.005862	0.008653	-0.000496	-0.006017	0.008126	0.175464	0.185819	0.19167	0.189931	1.0	0.003148	0.003146	-0.001526	0.002865	0.00393	-0.003934	0.001611	0.000841	0.000621	0.0038	0.002193	-0.000654	-0.002782	-0.004736	-0.003866	-0.000603	0.004203	0.004419	0.003668	-0.002263
