snp1	snp2	snp3	snp4	snp5	snp6	snp7	snp8	snp9	snp10	snp11	snp12	snp13	snp14	snp15	snp16	snp17	snp18	snp19	snp20	snp21	snp22	snp23	snp24	snp25	snp26	snp27	snp28	snp29	snp30	snp31	snp32	snp33	snp34	snp35	snp36	snp37	snp38	snp39	snp40	snp41	snp42	snp43	snp44	snp45	snp46	snp47	snp48	snp49	snp50
1.0	0.176588	0.158855	0.178224	0.184974	-0.002651	0.012884	0.005262	0.000673	0.000987	-0.006154	0.004553	0.005474	-0.010777	-0.003097	-0.00966	0.003944	-0.002457	0.005803	-0.012229	0.011886	0.003951	-0.010341	0.007266	-0.000865	-0.000176	-0.001603	-0.005465	0.002633	0.005584	0.006778	0.004634	0.000538	0.012258	-0.00191	-0.001129	-0.003248	0.009303	-0.010353	0.007428	-0.010239	-0.005758	0.000835	0.015947	0.00469	0.00688	0.005188	0.004517	-0.002772	-0.000471
0.176588	1.0	0.178413	0.188381	0.190759	-0.011161	-0.003054	-0.002266	-0.00718	0.000235	0.005057	0.00491	0.000356	-0.005132	0.00648	0.002686	-0.000788	-0.014503	0.002803	-0.005409	0.001243	0.009012	0.001996	0.001128	0.002314	0.007857	0.007075	0.004926	0.004471	0.002636	0.00934	0.014378	0.003429	-0.003664	-0.001276	-0.002095	-0.000333	0.000418	-0.000648	0.0005	-0.001808	-0.003853	0.011387	-0.000832	0.008026	0.010926	0.012283	0.008639	0.007411	0.006999
0.158855	0.178413	1.0	0.178255	0.184214	0.000484	0.001086	-0.007153	-0.010814	-0.005388	-0.009669	0.003854	-0.008003	-0.012072	-0.008668	0.001335	0.005063	0.004958	0.005189	0.001201	0.007361	0.013759	0.007232	0.008891	-0.001197	0.008507	-0.002451	0.006458	0.016489	-0.007422	0.009434	-0.002149	-0.00852	-0.00221	-0.003285	-0.004053	0.018988	0.002681	0.005588	-0.003087	-0.00576	-0.002756	-0.011096	0.003744	0.004163	3.6e-05	0.011328	0.007538	0.014096	0.00703
0.178224	0.188381	0.178255	1.0	0.186583	-0.013448	-0.002359	0.000331	0.004656	-0.006126	0.010129	-0.001863	0.006392	0.000968	-0.003894	-0.004311	0.01251	0.000933	-0.002949	-0.002026	0.004313	0.019542	0.005824	0.008578	0.005841	0.002987	0.006869	0.001613	0.005074	-0.013685	0.007959	-0.001666	0.007984	-0.007188	0.003983	-0.010728	5.8e-05	0.002847	-0.001887	0.010422	0.002211	0.006374	-0.000148	-0.004371	0.000307	0.009088	0.017473	0.005893	0.010357	0.001836
0.184974	0.190759	0.184214	0.186583	1.0	0.014748	0.01177	0.013643	-0.005606	0.009821	0.007104	-0.005583	-0.000406	-0.004767	-0.005299	0.003921	0.003484	0.002189	0.002724	-0.001404	0.013149	0.009919	0.010752	0.004028	0.010651	0.005286	0.005595	0.012517	0.00589	0.003411	0.001526	-0.00236	-0.003279	0.005516	-0.002925	0.005693	0.006175	0.005063	-0.001734	-0.001908	-0.005734	-0.009542	0.006728	-0.004214	0.003268	-0.006867	0.00537	0.012141	-0.005327	0.002224
-0.002651	-0.011161	0.000484	-0.013448	0.014748	1.0	0.148793	0.180975	0.133528	0.182112	-0.00173	0.002158	-0.009008	-0.024879	-0.003129	0.011929	-0.001156	0.003207	0.01263	0.00363	0.020649	0.007727	0.011772	0.012885	0.001433	0.008333	0.00963	0.007161	0.011614	0.010499	0.012137	0.000373	0.002252	0.002553	-0.005486	-0.002497	-0.004114	-0.009753	0.00413	-0.013714	-0.001067	-0.003753	-0.012399	-0.012311	-0.001184	-0.007073	-0.002676	-0.009615	-0.005881	0.011751
0.012884	-0.003054	0.001086	-0.002359	0.01177	0.148793	1.0	0.130801	0.126561	0.142034	-0.006754	0.004869	-0.008362	0.002705	-0.004366	0.003146	0.000885	-0.00152	0.009438	-0.001991	-2.9e-05	-0.003944	0.00331	0.003383	-0.005241	0.001209	0.001799	0.009588	0.004191	-0.001126	0.00787	-0.002519	-0.006001	0.010206	-0.001516	0.005681	0.004651	-0.013245	0.006525	-0.006571	-0.005111	-0.001907	-0.002184	-0.008921	-0.005157	-0.003829	-0.004031	-0.00996	-0.004602	0.011491
0.005262	-0.002266	-0.007153	0.000331	0.013643	0.180975	0.130801	1.0	0.143087	0.196337	0.004469	-0.008275	-7.8e-05	0.009991	-0.004498	-0.001639	0.000102	0.005979	0.005688	-0.002844	-0.004461	-0.001228	-0.002228	0.004142	0.008155	-0.000862	0.007795	0.007477	0.002677	0.006501	0.002317	0.007648	-0.004129	0.010027	-0.009959	-0.006857	-0.004186	-0.002956	-0.006805	0.001574	0.00269	0.000298	-0.010241	-0.002083	-0.007375	0.006654	-0.000638	-0.003007	-0.003984	0.009418
0.000673	-0.00718	-0.010814	0.004656	-0.005606	0.133528	0.126561	0.143087	1.0	0.135145	-0.00082	0.007874	0.020484	-0.001823	-0.003985	0.010646	0.014855	0.007877	0.009959	0.01115	-0.000188	0.009211	0.016277	0.007529	0.003748	0.008573	0.006074	0.004434	0.006483	-0.001387	-0.000297	-0.001777	-0.008336	0.004991	-0.003851	-0.006091	0.005249	0.007386	0.003837	0.002108	0.005291	0.007198	-0.002739	-0.000746	0.005668	0.001494	-0.000185	0.002625	-0.002926	0.007995
0.000987	0.000235	-0.005388	-0.006126	0.009821	0.182112	0.142034	0.196337	0.135145	1.0	0.001795	0.000339	-0.01112	0.00121	-0.001893	0.020362	0.014452	0.001632	-0.00794	-0.002075	0.00129	-0.000738	0.008923	0.003572	-0.001557	-0.000701	0.00868	0.006024	0.005717	-0.001482	0.003039	-0.00822	-0.014275	-0.004295	0.002156	0.010267	-0.007947	-0.004066	0.000944	-0.002221	-0.000635	-0.002575	-0.007926	0.000651	-0.004485	-0.001255	-0.007979	0.001955	-0.004258	-0.003016
-0.006154	0.005057	-0.009669	0.010129	0.007104	-0.00173	-0.006754	0.004469	-0.00082	0.001795	1.0	0.127086	0.180361	0.160249	0.175656	0.011062	-0.020741	-0.008254	0.005306	0.010889	0.002858	0.007065	0.018888	0.001967	0.00902	0.008144	0.018287	-0.000878	0.002391	-0.001155	0.003909	-0.003128	0.002202	0.01218	-0.011496	0.000197	-0.015386	-0.006246	-0.010847	0.0126	0.008653	0.015526	7.5e-05	0.003998	0.004437	0.001301	0.003818	-0.000192	0.000829	0.014293
0.004553	0.00491	0.003854	-0.001863	-0.005583	0.002158	0.004869	-0.008275	0.007874	0.000339	0.127086	1.0	0.12607	0.134306	0.138151	0.007274	-0.016266	-0.00751	-0.001286	0.00083	-0.004506	0.017817	0.008624	0.002541	0.000694	0.005688	-0.005882	-0.001839	0.012781	-0.004978	0.011936	-0.000332	-0.004097	0.007669	-0.00074	-0.000627	-0.005663	0.008104	-0.001285	0.004832	-0.007777	0.017597	0.010104	0.012639	0.002384	0.002311	-0.00527	-0.007341	0.00812	0.000125
0.005474	0.000356	-0.008003	0.006392	-0.000406	-0.009008	-0.008362	-7.8e-05	0.020484	-0.01112	0.180361	0.12607	1.0	0.175246	0.16578	-0.002483	0.001837	-0.005697	-0.012043	0.004021	0.003703	-0.005828	0.010901	-0.000268	-0.00517	0.003034	0.009274	-0.006231	0.001323	0.005718	0.002566	-0.002336	0.005556	-0.000294	-0.010769	0.000283	-0.000991	0.003459	0.00115	0.001215	-0.005118	0.003071	-0.002901	-0.001187	-0.002149	0.014185	0.000547	-0.002968	0.009213	-0.000653
-0.010777	-0.005132	-0.012072	0.000968	-0.004767	-0.024879	0.002705	0.009991	-0.001823	0.00121	0.160249	0.134306	0.175246	1.0	0.154842	-0.003352	-0.000795	-0.010686	-0.004467	0.004338	-0.002574	-0.004175	0.006581	-0.005237	-0.004678	0.008236	0.00403	-0.000234	0.000365	-0.003703	-0.008571	-0.005637	-0.001905	0.003238	0.008427	0.004788	0.000647	-0.008872	-0.002218	-0.000545	0.002263	0.007379	0.002174	-0.003428	-0.009577	0.002063	-0.002485	-0.009872	-0.001951	0.00325
-0.003097	0.00648	-0.008668	-0.003894	-0.005299	-0.003129	-0.004366	-0.004498	-0.003985	-0.001893	0.175656	0.138151	0.16578	0.154842	1.0	-0.00236	0.003709	0.001634	-0.003026	0.007115	-0.011794	-0.006207	-0.00455	-0.002567	-0.004632	-8e-05	0.002041	-0.009751	-0.012288	0.012429	0.001871	0.014152	0.002996	0.012702	-0.0023	0.006564	-0.005236	0.004527	-0.004483	0.006661	0.002504	0.012893	-0.002217	-0.002813	0.001553	0.005613	0.011058	0.001606	-0.005757	-0.009006
-0.00966	0.002686	0.001335	-0.004311	0.003921	0.011929	0.003146	-0.001639	0.010646	0.020362	0.011062	0.007274	-0.002483	-0.003352	-0.00236	1.0	0.191955	0.182712	0.164831	0.169334	0.002247	0.002084	0.011019	-0.003402	0.005572	0.005371	0.009805	0.006474	0.004438	0.004219	0.00732	0.007682	-0.008462	-0.01291	-0.008163	-0.006952	-0.007539	-0.002003	0.002525	-0.011377	-0.012781	-0.004767	0.004323	0.000699	0.005183	0.006076	0.005444	-0.002138	0.016867	0.004816
0.003944	-0.000788	0.005063	0.01251	0.003484	-0.001156	0.000885	0.000102	0.014855	0.014452	-0.020741	-0.016266	0.001837	-0.000795	0.003709	0.191955	1.0	0.200145	0.173787	0.173943	0.007986	0.004782	0.003078	0.004896	0.002725	0.007988	0.015503	0.007235	0.006393	0.007632	0.003553	-0.010048	-0.000361	-0.008321	0.003539	0.000305	-0.002927	0.003295	-0.00286	-0.003841	-0.004083	-0.009864	-0.013309	-0.005974	0.01458	0.012987	0.005823	0.004184	0.018808	0.004642
-0.002457	-0.014503	0.004958	0.000933	0.002189	0.003207	-0.00152	0.005979	0.007877	0.001632	-0.008254	-0.00751	-0.005697	-0.010686	0.001634	0.182712	0.200145	1.0	0.16741	0.189252	0.002615	0.003298	0.011078	-0.001717	0.004997	0.013403	0.012588	0.003319	-0.006835	0.005063	0.003032	0.006053	0.001737	0.001252	-0.011755	-0.012575	-0.003345	-0.003866	-0.001834	0.0025	-0.009203	-0.003986	-0.002006	-0.005356	0.007577	-0.002819	0.002948	-0.011471	0.004084	-0.00389
0.005803	0.002803	0.005189	-0.002949	0.002724	0.01263	0.009438	0.005688	0.009959	-0.00794	0.005306	-0.001286	-0.012043	-0.004467	-0.003026	0.164831	0.173787	0.16741	1.0	0.154819	0.006726	-0.003157	0.000394	0.006348	0.008603	0.006821	0.003291	0.004603	0.007435	0.017789	0.011514	0.011931	0.007604	0.001596	5.9e-05	0.003047	-0.007208	-0.004809	-0.00362	-0.016697	0.001041	-0.013485	0.002689	0.00258	0.00496	-0.00013	0.004953	-0.001032	0.001928	0.000815
-0.012229	-0.005409	0.001201	-0.002026	-0.001404	0.00363	-0.001991	-0.002844	0.01115	-0.002075	0.010889	0.00083	0.004021	0.004338	0.007115	0.169334	0.173943	0.189252	0.154819	1.0	-0.003938	-0.003832	0.004766	0.003836	-0.002094	0.000987	0.005232	-0.002723	-0.003787	-0.005405	0.001433	-0.009191	0.001679	-0.003704	0.005252	-0.001095	0.014268	0.002201	-0.00191	0.002573	-0.004935	0.00291	-0.001679	-0.004692	0.021469	-0.007037	-0.004974	-0.002573	-0.000624	-0.009717
0.011886	0.001243	0.007361	0.004313	0.013149	0.020649	-2.9e-05	-0.004461	-0.000188	0.00129	0.002858	-0.004506	0.003703	-0.002574	-0.011794	0.002247	0.007986	0.002615	0.006726	-0.003938	1.0	0.629675	0.404729	0.634955	0.625684	0.564981	0.351496	0.616055	0.627089	-0.00967	-0.003063	-0.005844	-0.005782	-0.012154	0.001668	0.007794	0.011867	-0.007999	0.015378	-0.011807	-0.009106	-0.003508	-0.010112	0.003907	-0.002444	-0.0004	-0.008181	-0.004542	0.007015	1.8e-05
0.003951	0.009012	0.013759	0.019542	0.009919	0.007727	-0.003944	-0.001228	0.009211	-0.000738	0.007065	0.017817	-0.005828	-0.004175	-0.006207	0.002084	0.004782	0.003298	-0.003157	-0.003832	0.629675	1.0	0.421168	0.632919	0.631457	0.576845	0.362945	0.618017	0.625458	-0.004875	-0.012241	-0.003428	-0.004145	-0.0157	0.004506	0.003882	0.012912	-0.007532	0.012392	-0.01156	-0.002445	-0.008238	-0.005687	0.007283	-0.010092	-0.005229	0.004009	-0.007911	0.005134	0.000205
-0.010341	0.001996	0.007232	0.005824	0.010752	0.011772	0.00331	-0.002228	0.016277	0.008923	0.018888	0.008624	0.010901	0.006581	-0.00455	0.011019	0.003078	0.011078	0.000394	0.004766	0.404729	0.421168	1.0	0.383148	0.398812	0.526561	0.55652	0.352167	0.425047	-0.004382	-0.00575	-0.010507	-0.010215	-0.011329	0.009756	0.002401	0.00724	-0.006687	0.015502	-0.009712	-0.005167	-0.005609	-0.009545	-0.000232	0.000331	0.000303	-0.00872	-0.00749	0.014962	0.003052
0.007266	0.001128	0.008891	0.008578	0.004028	0.012885	0.003383	0.004142	0.007529	0.003572	0.001967	0.002541	-0.000268	-0.005237	-0.002567	-0.003402	0.004896	-0.001717	0.006348	0.003836	0.634955	0.632919	0.383148	1.0	0.631873	0.539266	0.323388	0.63544	0.622141	-0.003313	-0.000504	-0.003042	-0.005698	-0.003546	0.001637	0.003152	0.020564	-0.010275	0.007431	-0.018473	-0.00179	-0.005635	-0.010567	0.008698	-0.004618	-0.000186	-0.004258	-0.003845	-0.000104	0.003327
